Year,,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024
Quarter,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,        Gross domestic product,16611.7,16713.3,16809.6,16915.2,16843,16943.3,16854.3,16485.4,16298.3,16269.1,16326.3,16502.8,16582.7,16743.2,16872.3,16960.9,16920.6,17035.1,17031.3,17222.6,17367,17444.5,17469.7,17489.9,17662.4,17709.7,17860.5,18016.1,17954,18185.9,18406.9,18500,18666.6,18782.2,18857.4,18892.2,19001.7,19062.7,19197.9,19304.4,19398.3,19506.9,19660.8,19882.4,20044.1,20150.5,20276.2,20304.9,20431.6,20602.3,20843.3,20985.4,20693.2,19056.6,20548.8,20771.7,21058.4,21389,21571.4,21960.4,21903.9,21919.2,22066.8,22249.5,22403.4,22539.4,22780.9,22960.6,23053.5,23223.9,23400.3,23536.3
2,Personal consumption expenditures,11183.3,11212.7,11287.5,11331.9,11316.4,11347.6,11260.1,11158.8,11130.5,11075.7,11150.2,11137.9,11202.5,11303,11383.6,11453.4,11497.1,11509,11544,11563.9,11647.3,11667.8,11691.4,11738,11814.3,11848.1,11896.3,12001,12044.2,12159.9,12280.1,12421.6,12516.9,12603.1,12691.8,12743.4,12839.6,12903.3,12993.1,13060.1,13160.5,13225.7,13315.4,13460.9,13558.4,13631,13693.8,13736.6,13758.3,13875.7,14033.2,14125.3,13885.9,12671.9,13813,14008.1,14328.6,14809.1,14924.3,15086.9,15123.4,15219.9,15277.6,15324,15510.2,15548.5,15646.7,15781.4,15856.9,15967.3,16113,16278.5
3,    Goods,3397.3,3405.2,3426.7,3433.4,3377,3371.9,3301.3,3200.6,3201.5,3180.9,3236.3,3219,3243.2,3287.4,3312.1,3358.2,3374.9,3362.5,3363.7,3388,3430.9,3430.3,3445.4,3469.9,3533.3,3541,3569.9,3605.2,3632.2,3700.5,3742.3,3795.9,3845,3886.1,3930.2,3948.6,3990.7,4025.5,4068.5,4094.3,4131.2,4175.1,4226.8,4315.7,4355.3,4365.7,4385.6,4408.2,4420.5,4496.8,4561,4576,4549.3,4442.6,4931.1,4968.9,5177.5,5354.9,5221.4,5280.7,5258.4,5238.3,5208.5,5200,5293.5,5288.9,5334.1,5378.5,5362.8,5402.1,5476.7,5558.1
4,        Durable goods,969.9,980.1,992.1,999.5,967.2,960.3,927.9,859.6,861.1,854.9,896.4,875.3,886,913.9,928.2,954.2,962.6,955.8,964.3,987.4,1011.5,1013.4,1026.6,1049.8,1076.2,1081.5,1091.3,1102.5,1121,1162.8,1183,1205.8,1228.9,1253.7,1270.1,1278.3,1295.3,1306.3,1339.8,1360.8,1371.7,1389.2,1424.9,1477.8,1496.9,1505.6,1516.4,1518.9,1505.4,1549.2,1585.7,1598.6,1525,1518.8,1808,1828.2,1956,2024.4,1885,1924.2,1924.6,1914.2,1905.1,1895.4,1971.8,1970.2,1990.5,2004.5,1995.7,2022.3,2059.8,2119.5
5,        Nondurable goods,2435,2429.9,2437.5,2435.5,2416.6,2420.4,2385.1,2362.3,2361.4,2347.3,2354.7,2362.3,2374.8,2387.9,2396.8,2414.6,2422.7,2417.5,2409.3,2408.7,2426.3,2423.6,2424.8,2424.8,2461.5,2463.7,2482.7,2506.7,2514.7,2540.3,2561.8,2592.4,2618.2,2634,2661.6,2671.7,2696.7,2720.4,2729.1,2733.6,2759.5,2785.8,2801.8,2838.1,2858.9,2860.8,2870,2889.7,2914.9,2947.9,2976.4,2979.1,3022.9,2923.9,3128.3,3146,3228.7,3337.8,3340.8,3361.3,3338.7,3328.8,3308.1,3308.8,3329.2,3326.2,3351.6,3381.7,3374.5,3388.6,3427,3452.2
6,    Services,7785.6,7807.3,7860.9,7900.1,7952,7991.3,7984.1,7997.2,7965.7,7931.7,7944.7,7952.2,7992,8046,8101.9,8121.5,8147.7,8174.9,8210.4,8202.5,8239.8,8262.1,8269.4,8289.8,8296,8322.6,8339.9,8408.9,8423.2,8466.5,8544.3,8631.2,8675.8,8719.8,8763.4,8796.5,8850.1,8878.6,8925,8966,9029.3,9050.5,9088.4,9145.3,9203.4,9265.6,9308.6,9329.1,9338.8,9381.2,9474.6,9550.2,9339.4,8250.5,8910.9,9065.7,9184.6,9488.8,9727.3,9831,9888.6,10004,10090.2,10144.1,10238.1,10279.7,10333.3,10423.6,10511.3,10582.7,10656.7,10743.7
7,Gross private domestic investment,2800,2827,2794.5,2762.5,2687,2641.9,2589.3,2338.9,2073.1,1952.6,1946.9,2128.5,2174.3,2288.5,2390.1,2383.3,2338.9,2434.5,2445.3,2633.8,2692.2,2752.6,2759.9,2736.4,2845.4,2882.5,2999,3027.8,2998.1,3121.3,3193.2,3203.4,3314.9,3328,3335.3,3315.3,3301.1,3287,3301.1,3391.7,3382.7,3435.9,3493.2,3558.9,3612.9,3612.4,3722.2,3724.8,3755.5,3790,3819.9,3770.4,3673.8,3163,3747.7,3863.8,3840.2,3777.7,3923.2,4175.7,4250.7,4156.8,4096,4153.8,4058.1,4136.6,4237.3,4244.8,4282.5,4369.2,4377.7,4313.8
8,    Fixed investment,2787,2800.1,2784.1,2757.4,2714.7,2692.4,2624.4,2451.1,2256.2,2174.4,2182.5,2193.5,2192.7,2272.7,2285.2,2328.8,2325.3,2380,2480.4,2544.2,2624,2677.2,2681.3,2729.4,2782.6,2811.7,2863.4,2910.2,2946,3032.7,3094.5,3137.3,3150.3,3184.5,3220.3,3219.5,3243.2,3267.1,3303.6,3333.7,3376.9,3410.5,3436.6,3516,3576.8,3613.8,3623.5,3632.8,3643.1,3710.7,3750.1,3739.5,3711.3,3420.6,3643.3,3780.9,3867.1,3919.5,3898.5,3926.4,4006.8,4026.4,4008.2,3988.7,4018.8,4103,4128.9,4164.9,4231.4,4255.7,4277.7,4263.1
