Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2007,5.5,5.1,5.0,5.6,5.8,5.5,5.9,5.5,5.9,5.7,5.9,6.3
2008,6.3,6.2,6.9,7.1,6.9,7.6,7.5,8.0,8.0,8.8,8.7,9.4
2009,10.1,11.3,11.7,11.4,12.3,12.1,12.5,13.0,12.6,12.8,12.4,12.8
2010,12.9,12.7,12.9,12.5,12.0,12.3,12.2,12.0,12.3,12.3,12.9,12.9
2011,12.3,11.8,11.6,11.9,11.6,11.5,11.2,11.2,11.2,11.3,11.2,11.1
2012,10.7,10.9,10.6,10.3,10.9,10.9,10.2,10.1,9.7,10.0,9.9,9.6
2013,9.7,9.7,9.3,9.0,9.0,9.1,9.4,9.2,8.8,9.1,8.7,8.3
2014,8.3,8.2,7.9,7.2,7.7,7.8,7.7,7.4,6.8,6.8,6.6,6.4
2015,6.7,6.8,6.8,6.8,6.8,6.7,6.9,6.6,6.2,6.3,6.4,6.2
2016,5.9,5.5,5.6,6.2,5.7,6.0,5.4,5.6,6.2,5.7,5.6,5.8
2017,5.8,5.6,5.0,5.2,5.2,5.0,5.1,5.1,5.1,5.0,4.9,5.0
2018,4.9,4.9,4.9,4.8,4.8,4.5,4.5,4.7,4.6,4.4,4.7,4.4
2019,4.8,4.2,4.7,4.2,4.2,4.3,4.5,4.1,3.9,4.1,4.3,4.2
2020,4.3,4.4,6.1,18.9,17.6,14.5,12.8,10.4,10.2,8.8,8.5,9.3
2021,8.5,8.5,8.0,7.9,7.2,7.3,6.4,6.0,6.2,5.7,5.0,4.6
2022,4.7,4.4,4.2,4.2,4.4,4.3,4.0,4.5,3.9,4.2,4.0,4.2
2023,4.6,5.5,4.7,4.4,4.0,4.3,4.4,4.8,4.6,4.8,4.5,5.0
2024,5.0,5.1,4.5,4.8,5.0,4.9,5.3,5.4,5.1,5.1,5.3,5.1
